Timestamp,Lot_ID,Wafer_ID,X_Die,Y_Die,BIN_Code,Defect_Type,Equipment,RF_Power(W),FDC_Temp,FDC_Pressure,Target_CD,Actual_CD
2026-05-31 23:00:00.025,LOT_01,Wafer_001,-20,0,BIN01,No_Defect,Photo_Track_A,497.6,40.27,9.88,50.0,51.28
2026-05-31 23:00:00.111,LOT_01,Wafer_001,-19,-6,BIN01,No_Defect,Photo_Track_A,498.8,40.14,10.2,50.0,49.68
2026-05-31 23:00:00.217,LOT_01,Wafer_001,-19,-5,BIN01,No_Defect,Etch_Chamber_A,498.9,40.01,9.91,50.0,49.93
2026-05-31 23:00:00.301,LOT_01,Wafer_001,-19,-4,BIN01,No_Defect,Photo_Track_A,500.1,40.73,9.95,50.0,49.15
2026-05-31 23:00:00.431,LOT_01,Wafer_001,-19,-3,BIN01,No_Defect,Photo_Track_A,499.4,40.21,10.17,50.0,49.98
2026-05-31 23:00:00.516,LOT_01,Wafer_001,-19,-2,BIN01,No_Defect,Etch_Chamber_A,500.6,39.7,10.19,50.0,49.62
2026-05-31 23:00:00.618,LOT_01,Wafer_001,-19,-1,BIN01,No_Defect,Photo_Track_A,499.2,40.57,10.07,50.0,49.3
2026-05-31 23:00:00.712,LOT_01,Wafer_001,-19,0,BIN01,No_Defect,Etch_Chamber_A,497.3,40.1,9.61,50.0,50.12
2026-05-31 23:00:00.803,LOT_01,Wafer_001,-19,1,BIN01,No_Defect,Etch_Chamber_A,500.3,38.91,9.79,50.0,50.19
2026-05-31 23:00:00.937,LOT_01,Wafer_001,-19,2,BIN01,No_Defect,Etch_Chamber_A,501.5,39.5,9.68,50.0,49.68
2026-05-31 23:00:01.023,LOT_01,Wafer_001,-19,3,BIN01,No_Defect,Etch_Chamber_A,498.3,39.25,10.14,50.0,49.69
2026-05-31 23:00:01.145,LOT_01,Wafer_001,-19,4,BIN03,Particle,Photo_Track_A,498.2,54.62,16.83,50.0,51.92
2026-05-31 23:00:01.208,LOT_01,Wafer_001,-19,5,BIN01,No_Defect,Etch_Chamber_A,502.9,39.55,9.98,50.0,49.33
2026-05-31 23:00:01.347,LOT_01,Wafer_001,-19,6,BIN01,No_Defect,Etch_Chamber_A,497.9,40.42,10.06,50.0,49.95
2026-05-31 23:00:01.433,LOT_01,Wafer_001,-18,-8,BIN01,No_Defect,Photo_Track_A,498.8,39.53,10.16,50.0,50.2
2026-05-31 23:00:01.529,LOT_01,Wafer_001,-18,-7,BIN01,No_Defect,Photo_Track_A,500.2,40.04,9.94,50.0,48.81
2026-05-31 23:00:01.649,LOT_01,Wafer_001,-18,-6,BIN01,No_Defect,Photo_Track_A,503.2,40.44,10.46,50.0,50.49
2026-05-31 23:00:01.706,LOT_01,Wafer_001,-18,-5,BIN01,No_Defect,Etch_Chamber_A,500.5,40.25,10.23,50.0,50.19
2026-05-31 23:00:01.827,LOT_01,Wafer_001,-18,-4,BIN01,No_Defect,Etch_Chamber_A,499.3,39.83,10.15,50.0,49.48
2026-05-31 23:00:01.943,LOT_01,Wafer_001,-18,-3,BIN01,No_Defect,Photo_Track_A,500.6,39.8,9.71,50.0,50.16
2026-05-31 23:00:02.040,LOT_01,Wafer_001,-18,-2,BIN02,Unetch,Etch_Chamber_A,501.7,46.11,16.79,50.0,51.2
2026-05-31 23:00:02.127,LOT_01,Wafer_001,-18,-1,BIN01,No_Defect,Etch_Chamber_A,500.0,39.53,10.28,50.0,49.0
2026-05-31 23:00:02.211,LOT_01,Wafer_001,-18,0,BIN01,No_Defect,Photo_Track_A,499.8,39.97,10.07,50.0,49.86
2026-05-31 23:00:02.313,LOT_01,Wafer_001,-18,1,BIN01,No_Defect,Etch_Chamber_A,502.3,39.98,9.77,50.0,50.45
2026-05-31 23:00:02.419,LOT_01,Wafer_001,-18,2,BIN01,No_Defect,Photo_Track_A,499.9,39.93,10.28,50.0,50.13
2026-05-31 23:00:02.505,LOT_01,Wafer_001,-18,3,BIN01,No_Defect,Etch_Chamber_A,503.4,39.75,10.18,50.0,50.52
2026-05-31 23:00:02.645,LOT_01,Wafer_001,-18,4,BIN03,Particle,Photo_Track_A,524.6,52.21,8.33,50.0,56.24
2026-05-31 23:00:02.718,LOT_01,Wafer_001,-18,5,BIN01,No_Defect,Etch_Chamber_A,500.5,40.41,9.75,50.0,50.78
2026-05-31 23:00:02.836,LOT_01,Wafer_001,-18,6,BIN01,No_Defect,Etch_Chamber_A,498.8,40.5,10.03,50.0,49.49
2026-05-31 23:00:02.923,LOT_01,Wafer_001,-18,7,BIN01,No_Defect,Etch_Chamber_A,500.5,40.31,10.24,50.0,50.51
2026-05-31 23:00:03.007,LOT_01,Wafer_001,-18,8,BIN04,Pattern_Deformation,Etch_Chamber_A,518.0,49.93,9.66,50.0,52.94
2026-05-31 23:00:03.138,LOT_01,Wafer_001,-17,-10,BIN01,No_Defect,Etch_Chamber_A,501.5,39.62,9.77,50.0,50.76
2026-05-31 23:00:03.215,LOT_01,Wafer_001,-17,-9,BIN01,No_Defect,Photo_Track_A,504.5,40.21,9.62,50.0,50.09
2026-05-31 23:00:03.328,LOT_01,Wafer_001,-17,-8,BIN01,No_Defect,Etch_Chamber_A,500.6,39.96,10.07,50.0,50.5
2026-05-31 23:00:03.444,LOT_01,Wafer_001,-17,-7,BIN01,No_Defect,Etch_Chamber_A,499.3,40.68,10.23,50.0,50.3
2026-05-31 23:00:03.543,LOT_01,Wafer_001,-17,-6,BIN01,No_Defect,Etch_Chamber_A,499.8,40.02,9.97,50.0,50.44
2026-05-31 23:00:03.603,LOT_01,Wafer_001,-17,-5,BIN01,No_Defect,Photo_Track_A,499.8,39.53,9.88,50.0,48.95
2026-05-31 23:00:03.740,LOT_01,Wafer_001,-17,-4,BIN01,No_Defect,Etch_Chamber_A,498.2,40.09,10.08,50.0,50.09
2026-05-31 23:00:03.809,LOT_01,Wafer_001,-17,-3,BIN01,No_Defect,Etch_Chamber_A,497.9,39.35,9.85,50.0,49.29
2026-05-31 23:00:03.929,LOT_01,Wafer_001,-17,-2,BIN01,No_Defect,Photo_Track_A,501.8,39.52,10.28,50.0,49.64
2026-05-31 23:00:04.011,LOT_01,Wafer_001,-17,-1,BIN01,No_Defect,Photo_Track_A,498.9,39.63,10.04,50.0,49.92
2026-05-31 23:00:04.117,LOT_01,Wafer_001,-17,0,BIN01,No_Defect,Photo_Track_A,499.0,39.61,9.95,50.0,50.05
2026-05-31 23:00:04.234,LOT_01,Wafer_001,-17,1,BIN01,No_Defect,Photo_Track_A,496.0,39.79,10.12,50.0,50.26
2026-05-31 23:00:04.300,LOT_01,Wafer_001,-17,2,BIN01,No_Defect,Etch_Chamber_A,504.8,40.27,9.75,50.0,51.11
2026-05-31 23:00:04.447,LOT_01,Wafer_001,-17,3,BIN01,No_Defect,Etch_Chamber_A,498.3,39.35,9.6,50.0,50.5
2026-05-31 23:00:04.545,LOT_01,Wafer_001,-17,4,BIN01,No_Defect,Etch_Chamber_A,497.6,40.25,10.17,50.0,49.8
2026-05-31 23:00:04.617,LOT_01,Wafer_001,-17,5,BIN01,No_Defect,Etch_Chamber_A,500.5,39.84,9.96,50.0,51.35
2026-05-31 23:00:04.741,LOT_01,Wafer_001,-17,6,BIN01,No_Defect,Photo_Track_A,498.5,39.34,10.37,50.0,49.23
2026-05-31 23:00:04.812,LOT_01,Wafer_001,-17,7,BIN01,No_Defect,Photo_Track_A,499.4,39.66,9.95,50.0,49.64
2026-05-31 23:00:04.901,LOT_01,Wafer_001,-17,8,BIN01,No_Defect,Photo_Track_A,493.5,39.54,9.99,50.0,49.39
2026-05-31 23:00:05.044,LOT_01,Wafer_001,-17,9,BIN01,No_Defect,Etch_Chamber_A,500.0,39.79,10.03,50.0,50.45
2026-05-31 23:00:05.119,LOT_01,Wafer_001,-17,10,BIN01,No_Defect,Photo_Track_A,501.3,39.9,10.01,50.0,50.08
2026-05-31 23:00:05.227,LOT_01,Wafer_001,-16,-12,BIN01,No_Defect,Etch_Chamber_A,501.0,39.48,10.04,50.0,50.28
2026-05-31 23:00:05.345,LOT_01,Wafer_001,-16,-11,BIN01,No_Defect,Photo_Track_A,499.6,40.14,9.88,50.0,49.7
2026-05-31 23:00:05.445,LOT_01,Wafer_001,-16,-10,BIN01,No_Defect,Etch_Chamber_A,503.9,39.38,9.84,50.0,49.98
2026-05-31 23:00:05.544,LOT_01,Wafer_001,-16,-9,BIN01,No_Defect,Photo_Track_A,498.7,40.18,10.12,50.0,50.53
2026-05-31 23:00:05.617,LOT_01,Wafer_001,-16,-8,BIN01,No_Defect,Photo_Track_A,498.8,40.94,10.34,50.0,50.23
2026-05-31 23:00:05.742,LOT_01,Wafer_001,-16,-7,BIN01,No_Defect,Etch_Chamber_A,499.6,40.27,9.96,50.0,50.66
2026-05-31 23:00:05.832,LOT_01,Wafer_001,-16,-6,BIN01,No_Defect,Photo_Track_A,499.3,39.69,9.73,50.0,51.95
2026-05-31 23:00:05.938,LOT_01,Wafer_001,-16,-5,BIN01,No_Defect,Photo_Track_A,499.5,39.88,10.17,50.0,49.63
2026-05-31 23:00:06.038,LOT_01,Wafer_001,-16,-4,BIN01,No_Defect,Etch_Chamber_A,502.2,39.33,9.33,50.0,51.29
2026-05-31 23:00:06.136,LOT_01,Wafer_001,-16,-3,BIN01,No_Defect,Photo_Track_A,500.0,40.31,10.13,50.0,49.46
2026-05-31 23:00:06.223,LOT_01,Wafer_001,-16,-2,BIN01,No_Defect,Photo_Track_A,500.2,40.91,10.08,50.0,50.05
2026-05-31 23:00:06.343,LOT_01,Wafer_001,-16,-1,BIN01,No_Defect,Etch_Chamber_A,501.1,39.78,10.04,50.0,50.52
2026-05-31 23:00:06.433,LOT_01,Wafer_001,-16,0,BIN01,No_Defect,Photo_Track_A,500.6,40.22,9.71,50.0,49.89
2026-05-31 23:00:06.528,LOT_01,Wafer_001,-16,1,BIN01,No_Defect,Etch_Chamber_A,500.6,39.64,9.96,50.0,50.89
2026-05-31 23:00:06.602,LOT_01,Wafer_001,-16,2,BIN01,No_Defect,Etch_Chamber_A,498.9,39.64,9.62,50.0,49.1
2026-05-31 23:00:06.710,LOT_01,Wafer_001,-16,3,BIN01,No_Defect,Etch_Chamber_A,501.0,40.64,10.15,50.0,50.05
2026-05-31 23:00:06.816,LOT_01,Wafer_001,-16,4,BIN01,No_Defect,Photo_Track_A,502.7,40.03,9.83,50.0,49.83
2026-05-31 23:00:06.937,LOT_01,Wafer_001,-16,5,BIN01,No_Defect,Photo_Track_A,500.2,40.11,10.0,50.0,49.54
2026-05-31 23:00:07.049,LOT_01,Wafer_001,-16,6,BIN01,No_Defect,Etch_Chamber_A,498.2,39.76,9.89,50.0,50.92
2026-05-31 23:00:07.135,LOT_01,Wafer_001,-16,7,BIN01,No_Defect,Photo_Track_A,497.1,39.94,10.2,50.0,50.47
2026-05-31 23:00:07.221,LOT_01,Wafer_001,-16,8,BIN01,No_Defect,Etch_Chamber_A,498.4,39.32,9.89,50.0,49.2
2026-05-31 23:00:07.317,LOT_01,Wafer_001,-16,9,BIN01,No_Defect,Photo_Track_A,501.9,40.17,10.38,50.0,49.65
2026-05-31 23:00:07.423,LOT_01,Wafer_001,-16,10,BIN01,No_Defect,Photo_Track_A,501.6,39.94,10.13,50.0,50.09
2026-05-31 23:00:07.519,LOT_01,Wafer_001,-16,11,BIN01,No_Defect,Etch_Chamber_A,500.6,39.96,9.94,50.0,49.34
2026-05-31 23:00:07.600,LOT_01,Wafer_001,-16,12,BIN01,No_Defect,Etch_Chamber_A,500.4,40.13,10.25,50.0,49.71
2026-05-31 23:00:07.700,LOT_01,Wafer_001,-15,-13,BIN01,No_Defect,Photo_Track_A,499.1,40.0,10.01,50.0,50.37
